9,10,105,117,0,0,0,0,2.207679033279419,0.8872911930084229,True,True,-0.009964404416798387,-0.011687655454466157,12,clustered,zipfian,log_reg,adult,1
9,10,105,117,0,0,0,0,1.3560705184936523,2.2367944717407227,True,True,-0.010244664194218954,-0.010343434746736189,12,clustered,zipfian,log_reg,adult,1
6,7,61,65,0,0,0,0,1.3994104862213135,0.9013767242431641,True,True,-0.005732096975044825,-0.008490736402951784,12,clustered,zipfian,log_reg,adult,4
6,7,61,65,0,0,0,0,1.3838753700256348,0.8514289855957031,True,True,-0.006084339120914371,-0.009415150900097688,12,clustered,zipfian,log_reg,adult,4
12,7,82,65,0,0,0,0,0.887589693069458,1.3229174613952637,True,True,-0.0809231963055664,-0.08647835425665518,12,clustered,zipfian,log_reg,adult,9
7,5,65,59,0,0,0,0,1.80611252784729,1.3586502075195312,True,True,-0.008263898691700886,-0.008685154792273287,12,clustered,zipfian,log_reg,adult,3
4,10,45,117,0,0,0,0,1.7373366355895996,0.8659555912017822,True,True,-0.015287723690866612,-0.013825027486987811,12,clustered,zipfian,log_reg,adult,10
12,6,82,61,0,0,0,0,1.3172335624694824,1.3360159397125244,True,True,-0.08071442590840476,-0.07990905182852283,12,clustered,zipfian,log_reg,adult,9
4,10,45,117,0,0,0,0,1.747786283493042,0.8984470367431641,True,True,-0.015011964373237343,-0.016305517446678925,12,clustered,zipfian,log_reg,adult,10
3,5,52,59,0,0,0,0,1.2884526252746582,1.3341608047485352,True,True,-0.014972570407802055,-0.013182779005447696,12,clustered,zipfian,log_reg,adult,11
2,10,37,117,0,0,0,0,1.1113319396972656,0.7460191249847412,True,True,-0.14243116154622054,-0.13223412854653616,12,clustered,zipfian,log_reg,adult,6
12,5,82,59,0,0,0,0,1.8001580238342285,0.8891687393188477,True,True,-0.08361237619364523,-0.09284760048621278,12,clustered,zipfian,log_reg,adult,9
11,10,73,117,0,0,0,0,1.3424954414367676,1.3651435375213623,True,True,-0.03877017840956968,-0.03748428737903402,12,clustered,zipfian,log_reg,adult,2
7,10,65,117,0,0,0,0,1.7818443775177002,1.7930152416229248,True,True,-0.017537871387794078,-0.016515639256236263,12,clustered,zipfian,log_reg,adult,3
9,10,105,117,0,0,0,0,3.1053590774536133,1.3884119987487793,True,True,-0.009715676595463863,-0.011382863153019422,12,clustered,zipfian,log_reg,adult,1
4,9,45,105,0,0,0,0,1.7428553104400635,0.8778529167175293,True,True,-0.0043119688006222215,-0.00386410022036061,12,clustered,zipfian,log_reg,adult,10
12,7,82,65,0,0,0,0,0.868138313293457,1.7860524654388428,True,True,-0.07637287481385598,-0.07962363559259394,12,clustered,zipfian,log_reg,adult,9
1,9,25,105,0,0,0,0,0.8551936149597168,1.6983230113983154,True,True,-1.4744581320181456,-1.1009536812679745,12,clustered,zipfian,log_reg,adult,8
2,5,37,59,0,0,0,0,1.762807846069336,0.8828399181365967,True,True,-0.10192604460678562,-0.08918128873773933,12,clustered,zipfian,log_reg,adult,6
11,5,73,59,0,0,0,0,3.1059038639068604,0.9205360412597656,True,True,-0.025717188426372217,-0.025830652266783653,12,clustered,zipfian,log_reg,adult,2
12,11,82,73,0,0,0,0,2.127762794494629,0.9041733741760254,True,True,-0.06458908870437537,-0.06312230536642731,12,clustered,zipfian,log_reg,adult,9
7,10,65,117,0,0,0,0,2.2368993759155273,1.7957751750946045,True,True,-0.017347996300929466,-0.01998905244467518,12,clustered,zipfian,log_reg,adult,3
11,5,73,59,0,0,0,0,1.3566129207611084,2.648224353790283,True,True,-0.027210690606261287,-0.0283286718625452,12,clustered,zipfian,log_reg,adult,2
7,10,65,117,0,0,0,0,1.317007303237915,2.2228753566741943,True,True,-0.01901761429283102,-0.018519330944113364,12,clustered,zipfian,log_reg,adult,3
12,11,82,73,0,0,0,0,1.2586472034454346,1.7749688625335693,True,True,-0.05608802997129575,-0.06698412756494812,12,clustered,zipfian,log_reg,adult,9
4,10,45,117,0,0,0,0,1.8286552429199219,1.336350917816162,True,True,-0.014797055880357592,-0.014512524842970251,12,clustered,zipfian,log_reg,adult,10
3,5,52,59,0,0,0,0,1.593714952468872,1.6019103527069092,True,True,-0.016982167300986898,-0.01808344340213004,12,clustered,zipfian,log_reg,adult,11
7,10,65,117,0,0,0,0,2.1839988231658936,1.7773230075836182,True,True,-0.0192136629940183,-0.01503005219828133,12,clustered,zipfian,log_reg,adult,3
7,10,65,117,0,0,0,0,1.8049488067626953,1.4097626209259033,True,True,-0.01828391415587702,-0.01688902380180128,12,clustered,zipfian,log_reg,adult,3
12,10,82,117,0,0,0,0,0.7929267883300781,2.2584028244018555,True,True,-0.0898950036896924,-0.09452467910850428,12,clustered,zipfian,log_reg,adult,9
6,5,61,59,0,0,0,0,2.113825798034668,1.0768985748291016,True,True,-0.012211843714145713,-0.01589150503788179,12,clustered,zipfian,log_reg,adult,4
1,6,25,61,0,0,0,0,2.087571382522583,0.876457929611206,True,True,-1.0828975917600472,-1.061794919815979,12,clustered,zipfian,log_reg,adult,8
7,5,65,59,0,0,0,0,0.8948326110839844,3.0917937755584717,True,True,-0.008897733995698917,-0.006369945962855662,12,clustered,zipfian,log_reg,adult,3
2,11,37,73,0,0,0,0,1.898160696029663,0.7368230819702148,True,True,-0.0717444860578736,-0.10443523071218387,12,clustered,zipfian,log_reg,adult,6
11,5,73,59,0,0,0,0,0.8408477306365967,3.5775692462921143,True,True,-0.03651669094523244,-0.027301805852891638,12,clustered,zipfian,log_reg,adult,2
